n,n-th gram point
128,284.10447630286217
129,285.7517221868038
130,287.39648423343897
131,289.0387876816094
132,290.6786574907601
133,292.31611796841025
134,293.95119332894683
135,295.58390694856644
136,297.2142820172012
137,298.8423414453864
138,300.4681073985994
139,302.0916020423174
140,303.7128468900919
141,305.33186326920986
142,306.94867204129696
143,308.56329388171434
144,310.17574881389737
145,311.78605695441365
146,313.39423767477274
147,315.00031043961644
148,316.60429406166077
149,318.2062071673572
150,319.806068290025
151,321.40389531105757
152,322.9997062049806
153,324.593518294394
154,326.1853489950299
155,327.77521516382694
156,329.36313365772367
157,330.9491208679974
158,332.5331930927932
159,334.11536625772715
160,335.6956561021507
161,337.2740782722831
162,338.8506479486823
163,340.42538031190634
164,341.9982901699841
165,343.56939214468
166,345.13870076462626
167,346.70623018592596
168,348.27199456468225
169,349.83600759133697
170,351.39828295633197
171,352.95883425697684
172,354.5176746249199
173,356.0748172849417
174,357.6302750892937
175,359.18406070396304
176,360.7361868880689
177,362.2866659350693
178,363.83551013842225
179,365.3827315121889
180,366.9283420704305
181,368.4723535478115
182,370.0147776789963
183,371.5556257329881
184,373.09490916505456
185,374.63263915106654
186,376.16882668063045
187,377.70348274335265
188,379.2366179563105
189,380.7682431228459
190,382.2983686737716
191,383.82700503990054
192,385.35416227951646
193,386.87985073029995
194,388.4040802642703
195,389.9268607534468
196,391.4482020698488
197,392.96811371296644
198,394.4866053685546
199,396.0036862567067
200,397.51936587691307
201,399.03365326300263
202,400.54655772820115
203,402.0580880269408
204,403.56825309991837
205,405.07706179469824
206,406.5845227725804
207,408.09064450860023
208,409.59543566405773
209,411.0989045277238
210,412.6010593883693
211,414.10190853476524
212,415.60145988315344
213,417.0997217223048
214,418.59670178219676
215,420.0924080722034
216,421.58684822916985
217,423.0800298899412
218,424.57196087762713
219,426.0626484565437
220,427.552100263536
221,429.0403235629201
222,430.5273256190121
223,432.01311369612813
224,433.4976948723197
225,434.9810762256384
226,436.46326464787126
227,437.94426721706986
228,439.42409063875675
229,440.90274180471897
230,442.38022723421454
231,443.85655372589827
232,445.33172779902816
233,446.80575587973
234,448.2786444872618
235,449.750399954617
236,451.221028521657
237,452.69053661450744
238,454.1589302867651
239,455.6262155920267
240,457.0923987701535
241,458.55748568847775
242,460.02148240059614
243,461.48439468070865
244,462.9462283961475
245,464.4069894142449
246,465.8666833229363
247,467.3253158032894
248,468.7828926295042
249,470.2394192032516
250,471.69490111246705
251,473.14934366568923
252,474.60275254398584
253,476.05513286963105
254,477.5064900442958
255,478.95682928338647
256,480.4061558023095
257,481.8544749096036
258,483.3017914481461
259,484.7481107264757
260,486.19343777373433
261,487.6377773396671
262,489.0811345465481
263,490.5235143303871
264,491.9649213477969
265,493.4053605347872
266,494.84483664110303
267,496.2833544164896
268,497.7209184244275
269,499.15753350779414
270,500.5932040438056
271,502.027934782207
272,503.4617301002145
273,504.8945945613086
274,506.32653254270554
275,507.7575485147536
276,509.18764685466886
277,510.6168318465352
278,512.0451078675687
279,513.4724790155888
280,514.8989497609437
281,516.3245240151882
282,517.7492061555386
283,519.1730001866817
284,520.5959102995694
285,522.0179404057562
286,523.4390946030617
287,524.8593768961728
288,526.2787912897766
289,527.6973415091634
290,529.1150316521525
291,530.5318655371666
292,531.9478468894958
293,533.3629796206951
294,534.7772674560547
295,536.1907141208649
296,537.603323340416
297,539.0150988399982
298,540.4260441586375
299,541.8361630216241
300,543.245459061116
301,544.6539357230067
302,546.0615966394544
303,547.4684452563524
304,548.8744851127267
305,550.2797196544707
306,551.6841523274779
307,553.087786577642
308,554.4906256645918
309,555.8926729410887
310,557.2939319461584
311,558.6944057531655
312,560.0940977148712
313,561.4930111840367
314,562.8911493271589
315,564.2885153107345
316,565.6851123012602
317,567.0809436514974
318,568.4760122485459
319,569.8703213520348
320,571.2638740353286
321,572.6566733717918
322,574.0487224347889
323,575.4400241114199
324,576.8305815681815
325,578.2203976921737
326,579.609475556761
327,580.9978179559112
