config,error
[88/240] o_shank | tanh | riemann_spectral_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[89/240] o_shank | tanh | riemann_quantum_interference_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[90/240] o_shank | tanh | riemann_quantum_interference_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[91/240] o_shank | tanh | riemann_quantum_interference_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[92/240] o_shank | tanh | riemann_quantum_interference_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[93/240] o_shank | tanh | riemann_advanced_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[94/240] o_shank | tanh | riemann_advanced_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[95/240] o_shank | tanh | riemann_advanced_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[96/240] o_shank | tanh | riemann_advanced_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[97/240] o_shank | tanh | zeta_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[98/240] o_shank | tanh | zeta_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[99/240] o_shank | tanh | zeta_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[100/240] o_shank | tanh | zeta_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[101/240] o_shank | tanh | riemann_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[102/240] o_shank | tanh | riemann_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[103/240] o_shank | tanh | riemann_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[104/240] o_shank | tanh | riemann_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
