feature,corr,mutual_info,rf_importance,nn_weight,final_score
co_gram_lag_3,0.14633295699165308,0.02741581575726523,0.003918207823697971,0.582178227738443,0.4047840829332174
co_gram_lag_10,0.1463341909176962,0.02741578481466348,0.004047981667341577,0.5815723965431876,0.40443141168298874
z_gram_lag_7,0.012649366107619889,0.016616881307651443,0.0005579698178272929,0.6332342228687723,0.40063408169223214
z_gram_lag_3,0.0019700640361967913,0.07220046794359801,0.012729233790520956,0.6148361663779613,0.3991750406960954
d_lag_5,0.17191080237335224,0.04913817051168114,0.00018324115298794323,0.5571880507513366,0.398954435561959
gram_lag_9,0.1463342791438328,0.027415111926277307,0.004037640606700585,0.5687241777405126,0.3964295893484519
gram_lag_2,0.14633304505261444,0.027416506633856558,0.004096537963741731,0.5665932220662254,0.3951137304236405
co_gram_lag_2,0.14633278090501634,0.0274157275959315,0.0045130277911992174,0.5635733145987836,0.39331100720059364
co_gram_lag_7,0.1463336618091105,0.027417062266539862,0.004194514358129959,0.562804128837634,0.3927730561973759
gram_lag_5,0.1463335736656751,0.027417526617906193,0.0043418267493112,0.5590437633526198,0.39045929187866246
z_term_2,0.025036064398318878,0.015739147342141588,0.0005782153245740571,0.610792624165592,0.38958589283262146
gram_lag_1,0.14633286894245526,0.02741640550080097,0.0039022503088563224,0.5556595655817719,0.3882696683372848
d_lag_20,0.18267704400360937,0.07269558790961006,0.0004711876584744767,0.526549387689921,0.3870131404160122
d_lag_6,0.1275182357754792,0.030036294938589895,0.00015167882791240588,0.5603999613848456,0.38632413554119466
z_co_gram,0.009879626085428044,0.12484854884719637,0.000700654815521006,0.5764817462170138,0.38485141647581994
z_co_gram_lag_3,0.014225938125097117,0.19781632168808436,0.10374881784327772,0.5216092702524833,0.3846464625416733
d_lag_22,0.0893908963410429,0.0344299718724127,0.00036215017412643164,0.5693777678267384,0.3832782630043498
co_gram_lag_1,0.14633260486539695,0.027417116710732246,0.004102973602279549,0.5404739770986139,0.3788521070207642
co_gram_lag_4,0.1463331331253439,0.027417166543055378,0.004243136449542781,0.5400351348320748,0.37860518930801856
co_gram,0.14633242887275785,0.02741832992361528,0.004132291427960907,0.5374309644073265,0.376963071322269
d_lag_21,0.062214217159847277,0.04377796825092769,0.0004213790069287646,0.5638175463346481,0.3748049557088778
gram_lag_6,0.1463337499643464,0.027417423158311416,0.0041715225007010834,0.5166229183043377,0.36401468244905644
d_lag_13,0.13249334743574231,0.016097407294492206,0.00022496500561248645,0.5136543962653201,0.3558676812961166
z_co_gram_lag_11,0.01906283247963992,0.0269877591818995,0.0001524501862289814,0.5477038657464032,0.3508383956390638
d_lag_14,0.13439785112267624,0.026773382030291556,0.0003132710326774844,0.500027901971942,0.34986831145862785
