dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
riemann_features,2,16,id,riemann_advanced_data_map,all_pairs,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.14773151391040906,0,0.008869324426157399,0.07734501798721766,0.07734501798721766,0.0,16,15,0.2229746210648451,0.5625,9,certified,2,0.0649836987991356,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,all_pairs,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.1352616941834528,0,0.007737664102185959,0.0784766783111891,0.0784766783111891,0.0,16,16,0.0,0.3125,5,budget,4,0.06473158665289074,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,all_pairs,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.14773151391040906,0,0.008869324426157399,0.07734501798721766,0.07734501798721766,0.0,16,15,0.2229746210648451,0.5625,9,certified,2,0.0649836987991356,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,all_pairs,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.1352616941834528,0,0.007737664102185959,0.0784766783111891,0.0784766783111891,0.0,16,16,0.0,0.3125,5,budget,4,0.06473158665289074,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Z+ZZ,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786171,0,0.0013548546808928447,0.08485948773248221,0.08485948773248221,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315355,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Z+ZZ,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.07256324915970025,0,0.002047658620013354,0.0841666837933617,0.0841666837933617,0.0,16,36,0.09797462106484511,0.4375,7,budget,1,0.07364136698257616,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Z+ZZ,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786171,0,0.0013548546808928447,0.08485948773248221,0.08485948773248221,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315355,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Z+ZZ,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.07256324915970025,0,0.002047658620013354,0.0841666837933617,0.0841666837933617,0.0,16,36,0.09797462106484511,0.4375,7,budget,1,0.07364136698257616,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Y+YY,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786193,0,0.0013548546808928724,0.08485948773248218,0.08485948773248218,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315407,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Y+YY,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.04266971610587711,1,-0.0006652374796159571,0.08687957989299101,0.08687957989299101,0.0,16,16,0.0,0.0,0,futility_cap,1,0.08502973859220507,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Y+YY,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786193,0,0.0013548546808928724,0.08485948773248218,0.08485948773248218,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315407,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,Y+YY,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.04266971610587711,1,-0.0006652374796159571,0.08687957989299101,0.08687957989299101,0.0,16,16,0.0,0.0,0,futility_cap,1,0.08502973859220507,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,X+XX,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.0,1,-0.004537596969125007,0.09075193938250006,0.09075193938250006,0.0,16,16,0.0,0.0,0,futility_cap,1,0.09075193938250005,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,X+XX,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786193,0,0.0013548546808928724,0.08485948773248218,0.08485948773248218,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315289,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,X+XX,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.0,1,-0.004537596969125007,0.09075193938250006,0.09075193938250006,0.0,16,16,0.0,0.0,0,futility_cap,1,0.09075193938250005,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,X+XX,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06492920911786193,0,0.0013548546808928724,0.08485948773248218,0.08485948773248218,0.0,16,16,0.0,0.3125,5,budget,1,0.07677215062315289,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,all_pairs,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.06809546227330576,0,0.0016421982953253589,0.0845721441180497,0.0845721441180497,0.0,16,16,0.0,0.125,2,budget,1,0.08088524883973185,0.015294727169940394
riemann_features,2,16,tanh,riemann_advanced_data_map,all_pairs,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.051921127942440415,0,0.00017434608657837525,0.08603999632679668,0.08603999632679668,0.0,16,16,0.0,0.0625,1,budget,1,0.07612460618986683,0.015294727169940394
